#,Vehicle Description,Device-ID,Date,Time,Odometer (Km),Lat/Lon,Address,Latest Batt %,Since Last Check-in,Since,Last,Check-in,Calculated Date
45,C2_KA04C5160_JETTING,c2_ka04c5160_jetting,01/01/2014,06:01:12,19260,,,,0d 00h 00m,0d,00h,00m,26/01/2024
162,E1_KA04D5122_TANKER,e1_ka04d5122_tanker,24/01/2024,18:53:08,29632,13.0209/77.6496,BÄbusÄhibpÄlya,,0d 00h 00m,0d,00h,00m,26/01/2024
67,E11_KA04D5163_JETTING,e11_ka04d5163_jetting,01/01/2014,13:30:08,30747,,,,0d 00h 00m,0d,00h,00m,26/01/2024
42,E11_KA04D5289_TANKER,e11_ka04d5289_tanker,01/01/2014,05:42:26,26069,,,,0d 00h 00m,0d,00h,00m,26/01/2024
58,E13_KA02AC4534_JETTING,e13_ka02ac4534_jetting,01/01/2014,10:52:53,30930,,,,0d 00h 00m,0d,00h,00m,26/01/2024
9,E21_KA02AC4521_JETTING,e21_ka02ac4521_jetting,01/01/2014,05:30:29,40815,,,,0d 00h 00m,0d,00h,00m,26/01/2024
31,E21_KA03C5060_TANKER,e21_ka03c5060_tanker,01/01/2014,05:31:49,54665,,,,0d 00h 00m,0d,00h,00m,26/01/2024
37,E21_KA04D4862_JETTING,e21_ka04d4862_jetting,01/01/2014,05:33:51,23030,,,,0d 00h 00m,0d,00h,00m,26/01/2024
26,E22_KA04C5153_JETTING,e22_ka04c5153_jetting,01/01/2014,05:31:23,55251,,,,0d 00h 00m,0d,00h,00m,26/01/2024
39,E23_KA04C3716_JETTING,e23_ka04c3716_jetting,01/01/2014,05:35:04,12560,,,,0d 00h 00m,0d,00h,00m,26/01/2024
82,E24_KA04C5159_JETTING,e24_ka04c5159_jetting,01/01/2014,16:24:33,70036,13.0045/77.6674,KottÅ«r,,0d 00h 00m,0d,00h,00m,26/01/2024
93,E24_KA04D4157_JETTING,e24_ka04d4157_jetting,01/01/2014,18:34:19,55508,13.0007/77.6650,Hotel Evoma,,0d 00h 00m,0d,00h,00m,26/01/2024
38,EE_WWMNH_A_V_KA53B3471_SUCTION,ee_wwmnh_a_v_ka53b3471_suction,01/01/2014,05:34:49,49767,,,,0d 00h 00m,0d,00h,00m,26/01/2024
56,EE_WWMNK_T_V_KA53B3469_JETTING,ee_wwmnk_t_v_ka53b3469_jetting,01/01/2014,10:22:36,107687,12.9475/77.6231,Vivek Nagar,,0d 00h 00m,0d,00h,00m,26/01/2024
47,N11_KA04C5142_JETTING,n11_ka04c5142_jetting,01/01/2014,06:18:27,39490,13.0590/77.5874,Chairman's Club & Resort,,0d 00h 00m,0d,00h,00m,26/01/2024
52,N11_KA04D6659_JETTING,n11_ka04d6659_jetting,01/01/2014,09:36:51,64346,13.0518/77.6306,Tansandra,,0d 00h 00m,0d,00h,00m,26/01/2024
89,N12_KA04AA1781_DESILTING,n12_ka04aa1781_desilting,01/01/2014,16:55:56,12774,13.0193/77.6019,Mysore Lancers Lines,,0d 00h 00m,0d,00h,00m,26/01/2024
79,N12_KA04B7114_TANKER,n12_ka04b7114_tanker,01/01/2014,16:04:56,37588,13.0291/77.6107,ShÄmpura,,0d 00h 00m,0d,00h,00m,26/01/2024
21,N12_KA04C3715_JETTING,n12_ka04c3715_jetting,01/01/2014,05:30:52,14842,,,,0d 00h 00m,0d,00h,00m,26/01/2024
86,N12_KA04D4115_JETTING,n12_ka04d4115_jetting,01/01/2014,16:38:44,24789,13.0187/77.5962,RT Nagar,,0d 00h 00m,0d,00h,00m,26/01/2024
49,N21_KA02AC4524_JETTING,n21_ka02ac4524_jetting,01/01/2014,08:03:50,34571,,,,0d 00h 00m,0d,00h,00m,26/01/2024
41,N21_KA04D5125_TANKER,n21_ka04d5125_tanker,01/01/2014,05:39:33,14772,,,,0d 00h 00m,0d,00h,00m,26/01/2024
60,N22_KA02AC4516_JETTING,n22_ka02ac4516_jetting,01/01/2014,12:05:01,32334,13.0662/77.5581,Dod Bammasandra,,0d 00h 00m,0d,00h,00m,26/01/2024
171,NE1_KA04AA7689_JETTING,ne1_ka04aa7689_jetting,24/01/2024,18:53:20,4542,12.9892/77.5653,Srirampuram,,0d 00h 00m,0d,00h,00m,26/01/2024
181,NE1_KA04B7111_TANKER,ne1_ka04b7111_tanker,24/01/2024,18:53:35,15068,13.0112/77.5676,Malleshwaram,,0d 00h 00m,0d,00h,00m,26/01/2024
161,NE1_KA04C5136_JETTING,ne1_ka04c5136_jetting,24/01/2024,18:53:06,47410,13.0103/77.5668,Malleshwaram,,0d 00h 00m,0d,00h,00m,26/01/2024
173,NE1_KA04D5158_JETTING,ne1_ka04d5158_jetting,24/01/2024,18:53:24,3005,13.0103/77.5666,Malleshwaram,,0d 00h 00m,0d,00h,00m,26/01/2024
77,NE2_KA02AC5944_JETTING,ne2_ka02ac5944_jetting,01/01/2014,15:51:40,63270,13.0349/77.5726,Sanjay Nagar,,0d 00h 00m,0d,00h,00m,26/01/2024
176,NE2_KA04AB5800_JETTING,ne2_ka04ab5800_jetting,24/01/2024,18:53:27,18405,13.0103/77.5672,Malleshwaram,,0d 00h 00m,0d,00h,00m,26/01/2024
170,NE2_KA04B7110_TANKER,ne2_ka04b7110_tanker,24/01/2024,18:53:20,41694,13.0102/77.5668,Malleshwaram,,0d 00h 00m,0d,00h,00m,26/01/2024
166,NE2_KA04C5137_JETTING,ne2_ka04c5137_jetting,24/01/2024,18:53:16,45066,13.0105/77.5667,Malleshwaram,,0d 00h 00m,0d,00h,00m,26/01/2024
168,NE2_KA04D4272_JETTING,ne2_ka04d4272_jetting,24/01/2024,18:53:18,21646,12.9903/77.5780,Seshadripuram,,0d 00h 00m,0d,00h,00m,26/01/2024
15,NE2_KA04D5294_TANKER,ne2_ka04d5294_tanker,01/01/2014,05:30:35,10823,,,,0d 00h 00m,0d,00h,00m,26/01/2024
151,NE2_KA05AD2943_DESILTING,ne2_ka05ad2943_desilting,16/01/2024,13:41:00,1699,13.0120/77.6559,Chansandra,,0d 00h 00m,0d,00h,00m,26/01/2024
163,NW1_KA04C5131_JETTING,nw1_ka04c5131_jetting,24/01/2024,18:53:10,10810,13.0074/77.5507,Nagapura,,0d 00h 00m,0d,00h,00m,26/01/2024
20,NW1_KA04D3161_TANKER,nw1_ka04d3161_tanker,01/01/2014,05:30:52,23534,,,,0d 00h 00m,0d,00h,00m,26/01/2024
29,NW11_KA04D6653_JETTING,nw11_ka04d6653_jetting,01/01/2014,05:31:35,15038,,,,0d 00h 00m,0d,00h,00m,26/01/2024
11,NW12_KA04D4601_JETTING,nw12_ka04d4601_jetting,01/01/2014,05:30:30,22663,,,,0d 00h 00m,0d,00h,00m,26/01/2024
111,NW3_KA04AB6025_JETTING,nw3_ka04ab6025_jetting,07/02/2020,06:04:59,1609344,13.0620/77.5044,Bagalkunti,,0d 00h 00m,0d,00h,00m,26/01/2024
75,NW3_KA04D5126_TANKER,nw3_ka04d5126_tanker,01/01/2014,15:42:33,18784,13.0433/77.5155,DÄsarhalli,,0d 00h 00m,0d,00h,00m,26/01/2024
16,NW3_KA04D5235_TANKER,nw3_ka04d5235_tanker,01/01/2014,05:30:41,28565,,,,0d 00h 00m,0d,00h,00m,26/01/2024
24,NW4_KA04C5135_JETTING,nw4_ka04c5135_jetting,01/01/2014,05:31:01,15276,,,,0d 00h 00m,0d,00h,00m,26/01/2024
87,S11_KA04C2203_JETTING,s11_ka04c2203_jetting,01/01/2014,16:43:15,29548,12.9074/77.5967,"J.P. Nagar, 3rd Phase",,0d 00h 00m,0d,00h,00m,26/01/2024
27,S11_KA04D4104_JETTING,s11_ka04d4104_jetting,01/01/2014,05:31:28,25397,,,,0d 00h 00m,0d,00h,00m,26/01/2024
18,S11_KA04D5161_JETTING,s11_ka04d5161_jetting,01/01/2014,05:30:50,17570,,,,0d 00h 00m,0d,00h,00m,26/01/2024
13,S11_KA04D5298_TANKER,s11_ka04d5298_tanker,01/01/2014,05:30:32,40655,,,,0d 00h 00m,0d,00h,00m,26/01/2024
64,S12_KA04C4868_JETTING,s12_ka04c4868_jetting,01/01/2014,12:40:32,92358,12.9137/77.6264,Central Silk Board Hosur Road,,0d 00h 00m,0d,00h,00m,26/01/2024
